ZIP_CODE,LOCATION,OWNER1,OWNER2,BLDG_CODE,TOTAL_AREA,LIVABLE_AREA,RECORDING_DATE,brief_desc,STD_OWNER,ABBR,MARKET_VALUE,MARKET_VALUE_DATE,LAST_SALE_PRICE,LAST_SALE_DATE,TAXABLE_LAND_VALUE,TAXABLE_BLDG_VALUE,EXEMPT_LAND_VALUE,EXEMPT_BLDG_VALUE
191461043,400-16 S TANEY ST,CITY OF PHILA,MARKWARD PLAYGROUND,JP0,43804,1580,10/10/1957,City of Phila.,DEPARTMENT OF RECREATION,PUBPROP,"1,760,000.00",3/1/2001,2.00,10/10/1957,0.00,0.00,"563,200.00",0.00
191213817,1518 N 24TH ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,869,0,12/31/1969,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"7,000.00",9/1/2008,1.00,12/31/1969,0.00,0.00,"2,240.00",0.00
191214903,1301 N 19TH ST,REDEVELOPMENT AUTHORITY O,,SR,1332,0,8/11/2005,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"6,700.00",7/1/2006,4.00,8/11/2005,0.00,0.00,"2,144.00",0.00
191333025,2434 N LEITHGOW ST,CITY OF PHILA,,SR,552,0,11/12/1987,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,600.00,1/1/2002,800.00,9/8/1987,0.00,0.00,192.00,0.00
191323307,2401 N 32ND ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SB,7842,0,6/10/1968,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"17,300.00",1/1/2002,1.00,6/10/1968,0.00,0.00,"5,536.00",0.00
191314430,1429 N 52ND ST,PHILA HOUSING DEV CORP,,SR,1418,0,2/25/1998,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"2,000.00",11/1/2004,"8,000.00",2/19/1998,0.00,0.00,640.00,0.00
191324417,2333 N 15TH ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,1437,0,11/22/1991,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,400.00",11/1/2006,1.00,11/12/1991,0.00,0.00,448.00,0.00
191221312,2116 N 08TH ST,CITY OF PHILADELPHIA,,SR,941,0,12/9/1997,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"1,000.00",1/1/2003,1.00,12/9/1997,0.00,0.00,320.00,0.00
191464528,1306 S 21ST ST,CITY OF PHILADELPHIA,,SR,1184,0,7/30/2008,,CITY OF PHILADELPHIA,PUBPROP,"8,000.00",10/1/2009,1.00,7/8/2008,"2,560.00","2,560.00",0.00,0.00
191221425,2051 N RANDOLPH ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,960,0,3/2/1987,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"3,000.00",7/1/2008,1.00,2/10/1987,0.00,0.00,960.00,0.00
191210000,1736 DIAMOND ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1530,0,3/25/1995,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"1,500.00",3/1/2001,3.00,8/25/1994,0.00,0.00,480.00,0.00
191160000,2099 WOODHAVEN RD,PHILA AUTH IND DEV,,SJ,249400,0,7/8/1993,P.A.I.D,PHILADELPHIA AUTHORITY FOR INDUSTRIAL DEVELOPMENT,PAID,"349,600.00",1/1/2003,"650,000.00",6/16/1993,0.00,0.00,"111,872.00",0.00
191331021,1211 W DAUPHIN ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,1050,0,6/5/1991,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,500.00,3/1/2001,800.00,3/17/1991,0.00,0.00,160.00,0.00
191212126,2121 W BERKS ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,1061,0,8/23/1989,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,800.00,3/1/2001,800.00,7/31/1989,0.00,0.00,256.00,0.00
191392413,140 N 58TH ST,REDEVELOPMENT AUTHORITY O,,O30,1155,1152,4/25/2008,,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"12,500.00",7/1/2007,4.00,4/25/2008,798.00,798.00,0.00,0.00
